# CyberPhoto lyckokakor
# Format:
# Huvudtext | Förklarande text
# Rader som börjar med # ignoreras.

Idag kan ditt sätt att lyssna vara skillnaden kunden minns. | Ett lugnt svar, en följdfråga eller ett extra samtal kan bygga mer förtroende än vi tror.
Gör det lite enklare för någon idag. | För en kund, en kollega eller en leverantör. Små förenklingar blir stora över tid.
Rekommendera rätt, inte dyrast. | När kunden känner att vi står på deras sida bygger vi något starkare än en enskild order.
Lös problemet hela vägen. | Det är lätt att svara på frågan. Det är mer CyberPhoto att se till att kunden verkligen kommer vidare.
Idag kan du lyssnar färdigt innan du svarar. | Det är ofta där förtroendet byggs, i det lilla som kunden inte förväntar sig.
Just idag kan du gör nästa steg tydligt för kunden. | Små förbättringar blir stora när många gör dem varje dag.
En kund kan minnas att du ringer istället för att bara skriva. | Det är så vi blir det självklara valet för kunden över tid.
En kollega kan få en bättre dag om du följer upp innan någon behöver fråga. | När människor känner sig trygga kommer de tillbaka.
Mot 2030 bygger vi CyberPhoto när vi ger ett råd som verkligen hjälper. | Det gör skillnad både för kunden och kollegan.
Det lilla extra idag kan vara att du förenklar informationen lite till. | Bra service handlar ofta om tydlighet och omtanke samtidigt.
Dagens möjlighet är att du hjälper nästa person i kedjan. | Det är så kultur blir verklighet i vardagen.
På väg in i dagen kan du tar ansvar hela vägen till lösning. | Det kräver inte alltid mer tid. Bara lite mer närvaro.
Idag kan du ser osäkerheten bakom frågan. | Kunden minns sällan allt vi sa. Men de minns hur det kändes.
Just idag kan du dubbelkollar en viktig detalj. | Det är den lilla skillnaden som gör skillnaden.
En kund kan minnas att du väljer tydlighet framför snabbhet. | Trygghet skapas när människor känner att vi bryr oss på riktigt.
En kollega kan få en bättre dag om du gör det lättare att säga ja. | En liten handling kan förändra hela upplevelsen för någon annan.
Mot 2030 bygger vi CyberPhoto när vi förklarar skillnaden mellan två val. | Det är ofta där förtroendet byggs, i det lilla som kunden inte förväntar sig.
Det lilla extra idag kan vara att du tar bort ett onödigt hinder. | Små förbättringar blir stora när många gör dem varje dag.
Dagens möjlighet är att du visar omtanke i en liten detalj. | Det är så vi blir det självklara valet för kunden över tid.
På väg in i dagen kan du ger någon några minuter extra. | När människor känner sig trygga kommer de tillbaka.
Idag kan du löser problemet istället för ärendet. | Det gör skillnad både för kunden och kollegan.
Just idag kan du skapar lugn i ett stressat läge. | Bra service handlar ofta om tydlighet och omtanke samtidigt.
En kund kan minnas att du berättar vad som händer härnäst. | Det är så kultur blir verklighet i vardagen.
En kollega kan få en bättre dag om du gör vardagen enklare för någon annan. | Det kräver inte alltid mer tid. Bara lite mer närvaro.
Mot 2030 bygger vi CyberPhoto när vi skriver lite mer mänskligt. | Kunden minns sällan allt vi sa. Men de minns hur det kändes.
Det lilla extra idag kan vara att du hjälper kunden känna sig trygg. | Det är den lilla skillnaden som gör skillnaden.
Dagens möjlighet är att du stannar kvar tills problemet är löst. | Trygghet skapas när människor känner att vi bryr oss på riktigt.
På väg in i dagen kan du väljer kvalitet före genvägar. | En liten handling kan förändra hela upplevelsen för någon annan.
Idag kan du ser möjligheten till förbättring. | Det är ofta där förtroendet byggs, i det lilla som kunden inte förväntar sig.
Just idag kan du lyssnar färdigt innan du svarar. | Små förbättringar blir stora när många gör dem varje dag.
En kund kan minnas att du gör nästa steg tydligt för kunden. | Det är så vi blir det självklara valet för kunden över tid.
En kollega kan få en bättre dag om du ringer istället för att bara skriva. | När människor känner sig trygga kommer de tillbaka.
Mot 2030 bygger vi CyberPhoto när vi följer upp innan någon behöver fråga. | Det gör skillnad både för kunden och kollegan.
Det lilla extra idag kan vara att du ger ett råd som verkligen hjälper. | Bra service handlar ofta om tydlighet och omtanke samtidigt.
Dagens möjlighet är att du förenklar informationen lite till. | Det är så kultur blir verklighet i vardagen.
På väg in i dagen kan du hjälper nästa person i kedjan. | Det kräver inte alltid mer tid. Bara lite mer närvaro.
Idag kan du tar ansvar hela vägen till lösning. | Kunden minns sällan allt vi sa. Men de minns hur det kändes.
Just idag kan du ser osäkerheten bakom frågan. | Det är den lilla skillnaden som gör skillnaden.
En kund kan minnas att du dubbelkollar en viktig detalj. | Trygghet skapas när människor känner att vi bryr oss på riktigt.
En kollega kan få en bättre dag om du väljer tydlighet framför snabbhet. | En liten handling kan förändra hela upplevelsen för någon annan.
Mot 2030 bygger vi CyberPhoto när vi gör det lättare att säga ja. | Det är ofta där förtroendet byggs, i det lilla som kunden inte förväntar sig.
Det lilla extra idag kan vara att du förklarar skillnaden mellan två val. | Små förbättringar blir stora när många gör dem varje dag.
Dagens möjlighet är att du tar bort ett onödigt hinder. | Det är så vi blir det självklara valet för kunden över tid.
På väg in i dagen kan du visar omtanke i en liten detalj. | När människor känner sig trygga kommer de tillbaka.
Idag kan du ger någon några minuter extra. | Det gör skillnad både för kunden och kollegan.
Just idag kan du löser problemet istället för ärendet. | Bra service handlar ofta om tydlighet och omtanke samtidigt.
En kund kan minnas att du skapar lugn i ett stressat läge. | Det är så kultur blir verklighet i vardagen.
En kollega kan få en bättre dag om du berättar vad som händer härnäst. | Det kräver inte alltid mer tid. Bara lite mer närvaro.
Mot 2030 bygger vi CyberPhoto när vi gör vardagen enklare för någon annan. | Kunden minns sällan allt vi sa. Men de minns hur det kändes.
Det lilla extra idag kan vara att du skriver lite mer mänskligt. | Det är den lilla skillnaden som gör skillnaden.
Dagens möjlighet är att du hjälper kunden känna sig trygg. | Trygghet skapas när människor känner att vi bryr oss på riktigt.
På väg in i dagen kan du stannar kvar tills problemet är löst. | En liten handling kan förändra hela upplevelsen för någon annan.
Idag kan du väljer kvalitet före genvägar. | Det är ofta där förtroendet byggs, i det lilla som kunden inte förväntar sig.
Just idag kan du ser möjligheten till förbättring. | Små förbättringar blir stora när många gör dem varje dag.
En kund kan minnas att du lyssnar färdigt innan du svarar. | Det är så vi blir det självklara valet för kunden över tid.
En kollega kan få en bättre dag om du gör nästa steg tydligt för kunden. | När människor känner sig trygga kommer de tillbaka.
Mot 2030 bygger vi CyberPhoto när vi ringer istället för att bara skriva. | Det gör skillnad både för kunden och kollegan.
Det lilla extra idag kan vara att du följer upp innan någon behöver fråga. | Bra service handlar ofta om tydlighet och omtanke samtidigt.
Dagens möjlighet är att du ger ett råd som verkligen hjälper. | Det är så kultur blir verklighet i vardagen.
På väg in i dagen kan du förenklar informationen lite till. | Det kräver inte alltid mer tid. Bara lite mer närvaro.
Idag kan du hjälper nästa person i kedjan. | Kunden minns sällan allt vi sa. Men de minns hur det kändes.
Just idag kan du tar ansvar hela vägen till lösning. | Det är den lilla skillnaden som gör skillnaden.
En kund kan minnas att du ser osäkerheten bakom frågan. | Trygghet skapas när människor känner att vi bryr oss på riktigt.
En kollega kan få en bättre dag om du dubbelkollar en viktig detalj. | En liten handling kan förändra hela upplevelsen för någon annan.
Mot 2030 bygger vi CyberPhoto när vi väljer tydlighet framför snabbhet. | Det är ofta där förtroendet byggs, i det lilla som kunden inte förväntar sig.
Det lilla extra idag kan vara att du gör det lättare att säga ja. | Små förbättringar blir stora när många gör dem varje dag.
Dagens möjlighet är att du förklarar skillnaden mellan två val. | Det är så vi blir det självklara valet för kunden över tid.
På väg in i dagen kan du tar bort ett onödigt hinder. | När människor känner sig trygga kommer de tillbaka.
Idag kan du visar omtanke i en liten detalj. | Det gör skillnad både för kunden och kollegan.
Just idag kan du ger någon några minuter extra. | Bra service handlar ofta om tydlighet och omtanke samtidigt.
En kund kan minnas att du löser problemet istället för ärendet. | Det är så kultur blir verklighet i vardagen.
En kollega kan få en bättre dag om du skapar lugn i ett stressat läge. | Det kräver inte alltid mer tid. Bara lite mer närvaro.
Mot 2030 bygger vi CyberPhoto när vi berättar vad som händer härnäst. | Kunden minns sällan allt vi sa. Men de minns hur det kändes.
Det lilla extra idag kan vara att du gör vardagen enklare för någon annan. | Det är den lilla skillnaden som gör skillnaden.
Dagens möjlighet är att du skriver lite mer mänskligt. | Trygghet skapas när människor känner att vi bryr oss på riktigt.
På väg in i dagen kan du hjälper kunden känna sig trygg. | En liten handling kan förändra hela upplevelsen för någon annan.
Idag kan du stannar kvar tills problemet är löst. | Det är ofta där förtroendet byggs, i det lilla som kunden inte förväntar sig.
Just idag kan du väljer kvalitet före genvägar. | Små förbättringar blir stora när många gör dem varje dag.
En kund kan minnas att du ser möjligheten till förbättring. | Det är så vi blir det självklara valet för kunden över tid.
En kollega kan få en bättre dag om du lyssnar färdigt innan du svarar. | När människor känner sig trygga kommer de tillbaka.
Mot 2030 bygger vi CyberPhoto när vi gör nästa steg tydligt för kunden. | Det gör skillnad både för kunden och kollegan.
Det lilla extra idag kan vara att du ringer istället för att bara skriva. | Bra service handlar ofta om tydlighet och omtanke samtidigt.
Dagens möjlighet är att du följer upp innan någon behöver fråga. | Det är så kultur blir verklighet i vardagen.
På väg in i dagen kan du ger ett råd som verkligen hjälper. | Det kräver inte alltid mer tid. Bara lite mer närvaro.
Idag kan du förenklar informationen lite till. | Kunden minns sällan allt vi sa. Men de minns hur det kändes.
Just idag kan du hjälper nästa person i kedjan. | Det är den lilla skillnaden som gör skillnaden.
En kund kan minnas att du tar ansvar hela vägen till lösning. | Trygghet skapas när människor känner att vi bryr oss på riktigt.
En kollega kan få en bättre dag om du ser osäkerheten bakom frågan. | En liten handling kan förändra hela upplevelsen för någon annan.
Mot 2030 bygger vi CyberPhoto när vi dubbelkollar en viktig detalj. | Det är ofta där förtroendet byggs, i det lilla som kunden inte förväntar sig.
Det lilla extra idag kan vara att du väljer tydlighet framför snabbhet. | Små förbättringar blir stora när många gör dem varje dag.
Dagens möjlighet är att du gör det lättare att säga ja. | Det är så vi blir det självklara valet för kunden över tid.
På väg in i dagen kan du förklarar skillnaden mellan två val. | När människor känner sig trygga kommer de tillbaka.
Idag kan du tar bort ett onödigt hinder. | Det gör skillnad både för kunden och kollegan.
Just idag kan du visar omtanke i en liten detalj. | Bra service handlar ofta om tydlighet och omtanke samtidigt.
En kund kan minnas att du ger någon några minuter extra. | Det är så kultur blir verklighet i vardagen.
En kollega kan få en bättre dag om du löser problemet istället för ärendet. | Det kräver inte alltid mer tid. Bara lite mer närvaro.
Mot 2030 bygger vi CyberPhoto när vi skapar lugn i ett stressat läge. | Kunden minns sällan allt vi sa. Men de minns hur det kändes.
Det lilla extra idag kan vara att du berättar vad som händer härnäst. | Det är den lilla skillnaden som gör skillnaden.
Dagens möjlighet är att du gör vardagen enklare för någon annan. | Trygghet skapas när människor känner att vi bryr oss på riktigt.
På väg in i dagen kan du skriver lite mer mänskligt. | En liten handling kan förändra hela upplevelsen för någon annan.
Idag kan du hjälper kunden känna sig trygg. | Det är ofta där förtroendet byggs, i det lilla som kunden inte förväntar sig.
Just idag kan du stannar kvar tills problemet är löst. | Små förbättringar blir stora när många gör dem varje dag.
En kund kan minnas att du väljer kvalitet före genvägar. | Det är så vi blir det självklara valet för kunden över tid.
En kollega kan få en bättre dag om du ser möjligheten till förbättring. | När människor känner sig trygga kommer de tillbaka.
Mot 2030 bygger vi CyberPhoto när vi lyssnar färdigt innan du svarar. | Det gör skillnad både för kunden och kollegan.
Det lilla extra idag kan vara att du gör nästa steg tydligt för kunden. | Bra service handlar ofta om tydlighet och omtanke samtidigt.
Dagens möjlighet är att du ringer istället för att bara skriva. | Det är så kultur blir verklighet i vardagen.
På väg in i dagen kan du följer upp innan någon behöver fråga. | Det kräver inte alltid mer tid. Bara lite mer närvaro.
Idag kan du ger ett råd som verkligen hjälper. | Kunden minns sällan allt vi sa. Men de minns hur det kändes.
Just idag kan du förenklar informationen lite till. | Det är den lilla skillnaden som gör skillnaden.
En kund kan minnas att du hjälper nästa person i kedjan. | Trygghet skapas när människor känner att vi bryr oss på riktigt.
En kollega kan få en bättre dag om du tar ansvar hela vägen till lösning. | En liten handling kan förändra hela upplevelsen för någon annan.
